@s:0

0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 37, 21, 21, 0, 0,
20, 0, 36, 37, 36, 84, 20, 20,
20, 36, 36, 37, 20, 84, 20, 21,
4, 20, 36, 84, 20, 36, 36, 21,
36, 20, 36, 36, 84, 20, 36, 36,

@s:1

0, 0, 0, 0, 0, 0, 4, 36,
0, 0, 0, 0, 0, 0, 37, 84,
0, 0, 0, 0, 0, 36, 36, 37,
0, 0, 0, 0, 0, 32, 36, 36,
20, 0, 0, 0, 32, 32, 20, 20,
20, 37, 0, 37, 20, 84, 20, 21,
4, 20, 37, 84, 20, 36, 36, 21,
36, 20, 36, 36, 84, 20, 36, 36,

@s:2

0, 0, 0, 0, 0, 36, 4, 36,
0, 0, 0, 0, 0, 0, 36, 84,
0, 0, 0, 0, 0, 36, 36, 37,
0, 0, 0, 0, 0, 36, 36, 36,
0, 0, 0, 0, 20, 36, 20, 20,
0, 0, 0, 0, 20, 84, 20, 21,
0, 0, 0, 0, 0, 36, 36, 21,
0, 0, 0, 0, 0, 0, 36, 36,

@s:3

36, 4, 36, 0, 0, 0, 0, 0,
84, 36, 0, 0, 0, 0, 0, 0,
37, 36, 36, 0, 0, 0, 0, 0,
36, 36, 36, 0, 0, 0, 0, 0,
20, 20, 36, 20, 0, 0, 0, 0,
21, 20, 84, 20, 0, 0, 0, 0,
21, 36, 36, 0, 0, 0, 0, 0,
36, 36, 0, 0, 0, 0, 0, 0,

@s:4

36, 20, 36, 36, 84, 20, 36, 36,
4, 20, 36, 84, 20, 36, 36, 21,
20, 36, 36, 37, 20, 84, 20, 21,
20, 0, 36, 37, 36, 84, 20, 20,
0, 0, 0, 37, 21, 21, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,

@s:5

36, 20, 36, 36, 84, 20, 36, 36,
4, 20, 37, 84, 20, 36, 36, 21,
20, 37, 0, 37, 20, 84, 20, 21,
20, 0, 0, 0, 32, 32, 20, 20,
0, 0, 0, 0, 0, 32, 36, 36,
0, 0, 0, 0, 0, 36, 36, 37,
0, 0, 0, 0, 0, 0, 37, 84,
0, 0, 0, 0, 0, 0, 4, 36,

@s:6

36, 36, 20, 84, 36, 36, 20, 36,
21, 36, 36, 20, 84, 37, 20, 4,
21, 20, 84, 20, 37, 0, 37, 20,
20, 20, 32, 32, 0, 0, 0, 20,
36, 36, 32, 0, 0, 0, 0, 0,
37, 36, 36, 0, 0, 0, 0, 0,
84, 37, 0, 0, 0, 0, 0, 0,
36, 4, 0, 0, 0, 0, 0, 0,

@s:7

36, 36, 20, 84, 36, 36, 20, 36,
21, 36, 36, 20, 84, 37, 20, 4,
21, 20, 84, 20, 37, 0, 37, 20,
20, 20, 32, 32, 0, 0, 0, 20,
36, 36, 32, 0, 0, 0, 0, 0,
37, 36, 36, 0, 0, 0, 0, 0,
84, 37, 0, 0, 0, 0, 0, 0,
36, 4, 0, 0, 0, 0, 0, 0,

@s:8

37, 20, 36, 36, 37, 20, 36, 36,
36, 36, 37, 37, 20, 36, 36, 36,
37, 36, 37, 37, 36, 84, 36, 36,
36, 100, 20, 20, 84, 37, 21, 20,
100, 84, 100, 100, 20, 84, 36, 37,
84, 37, 36, 84, 36, 36, 20, 36,
36, 37, 37, 36, 21, 37, 20, 21,
21, 36, 20, 37, 36, 20, 36, 20,

@s:9

16, 36, 36, 84, 36, 84, 16, 36,
36, 84, 84, 36, 20, 20, 84, 32,
36, 32, 20, 84, 36, 36, 36, 36,
84, 36, 0, 16, 36, 32, 20, 36,
84, 0, 0, 0, 84, 36, 36, 0,
0, 0, 0, 0, 36, 20, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,

@s:10

16, 36, 36, 84, 36, 36, 16, 36,
20, 84, 84, 36, 32, 20, 84, 32,
36, 32, 36, 84, 36, 36, 20, 36,
84, 36, 84, 20, 36, 32, 84, 36,
36, 32, 20, 36, 84, 20, 36, 0,
36, 36, 20, 0, 36, 36, 0, 0,
36, 0, 36, 0, 36, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,

@s:11

52, 36, 0, 0, 0, 0, 0, 0,
36, 0, 0, 0, 0, 0, 0, 0,
36, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,

@s:12

20, 36, 20, 36, 37, 20, 36, 21,
21, 20, 37, 21, 36, 37, 37, 36,
36, 20, 36, 36, 84, 36, 37, 84,
37, 36, 84, 20, 100, 100, 84, 100,
20, 21, 37, 84, 20, 20, 100, 36,
36, 36, 84, 36, 37, 37, 36, 37,
36, 36, 36, 20, 37, 37, 36, 36,
36, 36, 20, 37, 36, 36, 20, 37,

@s:13

0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 36, 20, 0, 0,
84, 0, 0, 0, 84, 36, 36, 0,
84, 36, 0, 16, 36, 32, 20, 36,
36, 32, 20, 84, 36, 36, 36, 36,
36, 84, 84, 36, 20, 20, 84, 32,
16, 36, 36, 84, 36, 84, 16, 36,

@s:14

0, 0, 0, 0, 0, 0, 0, 0,
36, 0, 36, 0, 36, 0, 0, 0,
36, 36, 20, 0, 36, 36, 0, 0,
36, 32, 20, 36, 84, 20, 36, 0,
84, 36, 84, 20, 36, 32, 84, 36,
36, 32, 36, 84, 36, 36, 20, 36,
20, 84, 84, 36, 32, 20, 84, 32,
16, 36, 36, 84, 36, 36, 16, 36,

@s:15

0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
36, 0, 0, 0, 0, 0, 0, 0,
36, 0, 0, 0, 0, 0, 0, 0,
52, 36, 0, 0, 0, 0, 0, 0,

@s:16

0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,

@s:17

0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,

@s:18

0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,

@s:19

0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,

@s:20

0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,

@s:21

0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0,
